X,Y,Z,Porosity,Permeability,Sequence
28250,76250,-850,28.43451541,1.33E-16,o1
28250,76250,-830,32.81578588,3.41E-16,o1
28250,76250,-810,37.36233698,9.06E-16,o1
28250,76250,-790,41.25770158,2.10E-15,o1
28250,76250,-770,41.69516091,2.30E-15,o1
28250,76250,-750,31.57411053,2.61E-16,o1
28250,76250,-730,39.98944585,1.59E-15,o1
28250,76250,-710,44.6638755,4.36E-15,m6
28250,76250,-690,36.11861805,6.93E-16,m6
28250,76250,-670,55.62840126,4.62E-14,m58
28250,76250,-650,42.01782485,2.47E-15,m58
28250,76250,-630,40.88089775,1.93E-15,m58
28250,76250,-610,31.8690242,2.78E-16,m58
28250,76250,-590,43.51261587,3.40E-15,m58
28250,76250,-570,21.55026425,3.01E-17,m58
28250,76250,-550,49.27114381,1.18E-14,m58
28250,76250,-530,38.87858793,1.26E-15,m58
28250,76250,-510,58.23673875,8.10E-14,m54
28250,76250,-490,50.51911835,1.54E-14,m54
28250,76250,-470,50.18070523,1.43E-14,m54
28250,76250,-450,43.30374121,3.25E-15,m54
28250,76250,-430,43.30276389,3.25E-15,m54
28250,76250,-410,38.21536705,1.09E-15,m54
28250,76250,-390,25.56407395,7.15E-17,m54
28250,76250,-370,30.194233,1.94E-16,m54
28250,76250,-350,55.56450965,4.56E-14,m54
28250,76250,-330,56.28453728,5.32E-14,m54
28250,76250,-310,47.28101344,7.66E-15,m54
28250,76250,-290,54.48396128,3.61E-14,m5
28250,76250,-270,53.83291078,3.14E-14,m41
28250,76250,-250,48.36278281,9.67E-15,m41
28250,76250,-230,56.26084915,5.29E-14,m41
28250,76250,-210,56.45723139,5.52E-14,m41
28250,76250,-190,55.50440949,4.50E-14,m41
28250,76250,-170,47.88650125,8.73E-15,m41
28250,76250,-150,48.91488462,1.09E-14,m41
28250,76250,-130,35.12905627,5.60E-16,m1
28250,76250,-110,38.15080402,1.07E-15,m1
28250,76250,-90,38.92478902,1.27E-15,m1
28250,76250,-70,37.14386784,8.65E-16,m1
28250,76250,-50,38.26924632,1.10E-15,m1
