#X,Y,Z,attr 
 18304.348, 60500.000,  -292.007,     0.462
 55034.783, 60500.000,  -393.197,     0.554
 51377.640, 60500.000,  -323.810,     0.702
 15601.242, 60500.000,  -277.551,     0.741
 54319.255, 60500.000,  -300.680,     0.014
 31342.857, 60500.000,  -335.374,     0.655
 48754.037, 60500.000,  -341.156,     0.752
 38339.130, 60500.000,  -341.156,     0.540
 24982.609, 60500.000,  -329.592,     0.727
 51536.646, 60500.000,  -352.721,     0.925
 41837.267, 60500.000,  -329.592,     0.937
 56306.832, 60500.000,  -315.136,     0.501
 51536.646, 60500.000,  -297.789,     0.569
 18304.348, 60500.000,  -312.245,     0.477
 51218.634, 60500.000,  -335.374,     0.826
 35636.025, 60500.000,  -361.395,     0.884
 57260.870, 60500.000,  -341.156,     0.508
 30150.311, 60500.000,  -289.116,     0.524
 47402.484, 60500.000,  -300.680,     0.694
 22279.503, 60500.000,  -300.680,     0.788
 36669.565, 60500.000,  -335.374,     0.598
 41280.745, 60500.000,  -355.612,     0.914
 18622.360, 60500.000,  -326.701,     0.115
 49231.056, 60500.000,  -315.136,     0.781
 29355.280, 60500.000,  -323.810,     0.345
 23869.565, 60500.000,  -277.551,     0.481
 40167.702, 60500.000,  -381.633,     0.150
 34522.981, 60500.000,  -292.007,     0.619
 33966.460, 60500.000,  -332.483,     0.455
 58214.907, 60500.000,  -372.959,     0.911
 27526.708, 60500.000,  -303.571,     0.875
 15044.720, 60500.000,  -315.136,     0.458
 43427.329, 60500.000,  -387.415,     0.159
 37544.099, 60500.000,  -306.463,     0.593
 11387.578, 60500.000,  -289.116,     0.586
 59248.447, 60500.000,  -390.306,     0.506
 26731.677, 60500.000,  -309.354,     0.469
 51616.149, 60500.000,  -378.741,     0.473
 49708.075, 60500.000,  -370.068,     0.425
  9559.006, 60500.000,  -300.680,     0.860
  9638.509, 60500.000,  -297.789,     0.663
 52490.683, 60500.000,  -326.701,     0.448
 57658.385, 60500.000,  -398.980,     0.940
 60281.988, 60500.000,  -364.286,     0.899
 57101.863, 60500.000,  -338.265,     0.485
 35238.509, 60500.000,  -318.027,     0.899
 28162.733, 60500.000,  -309.354,     0.516
 49072.050, 60500.000,  -352.721,     0.931
 34761.491, 60500.000,  -372.959,     0.715
 29275.776, 60500.000,  -300.680,     0.610
 19258.385, 60500.000,  -277.551,     0.447
 40485.714, 60500.000,  -323.810,     0.904
 11546.584, 60500.000,  -245.748,     0.169
 38816.149, 60500.000,  -318.027,     0.802
 57499.379, 60500.000,  -341.156,     0.437
 24903.106, 60500.000,  -341.156,     0.076
