#X,Y,Z,attr 
 27844.720, 60500.000,  -196.599,     0.612
 25698.137, 60500.000,  -225.510,     0.881
 45255.901, 60500.000,  -127.211,     0.884
 24267.081, 60500.000,  -173.469,     0.637
 19178.882, 60500.000,  -182.143,     0.481
 15283.230, 60500.000,  -176.361,     0.532
 56545.342, 60500.000,  -185.034,     0.460
 12182.609, 60500.000,  -153.231,     0.404
 40485.714, 60500.000,  -228.401,     0.835
 58612.422, 60500.000,  -222.619,     0.759
 55670.807, 60500.000,  -193.707,     0.397
 49469.565, 60500.000,  -228.401,     0.417
 25539.130, 60500.000,  -216.837,     0.862
 16316.770, 60500.000,  -138.776,     0.453
 48118.012, 60500.000,  -225.510,     0.803
 26095.652, 60500.000,  -242.857,     0.733
 30070.807, 60500.000,  -138.776,     0.921
 36828.571, 60500.000,  -208.163,     0.732
 11228.571, 60500.000,  -147.449,     0.552
 28401.242, 60500.000,  -254.422,     0.203
 33330.435, 60500.000,  -182.143,     0.887
 59884.472, 60500.000,  -237.075,     0.652
 58771.429, 60500.000,  -239.966,     0.509
 27526.708, 60500.000,  -202.381,     0.890
 53524.224, 60500.000,  -239.966,     0.712
 41201.242, 60500.000,  -179.252,     0.504
 23790.062, 60500.000,  -161.905,     0.646
 30309.317, 60500.000,  -208.163,     0.498
 36192.547, 60500.000,  -182.143,     0.708
 29275.776, 60500.000,  -130.102,     0.602
 47561.491, 60500.000,  -127.211,     0.822
 60043.478, 60500.000,  -167.687,     0.208
 37623.602, 60500.000,  -182.143,     0.123
 54160.248, 60500.000,  -121.429,     0.413
 30309.317, 60500.000,  -216.837,     0.811
 59407.453, 60500.000,  -182.143,     0.342
 24744.099, 60500.000,  -199.490,     0.333
 52967.702, 60500.000,  -251.531,     0.916
 42234.783, 60500.000,  -179.252,     0.714
 51218.634, 60500.000,  -222.619,     0.394
 29514.286, 60500.000,  -147.449,     0.600
 33807.453, 60500.000,  -170.578,     0.702
 46289.441, 60500.000,  -173.469,     0.709
 52252.174, 60500.000,  -190.816,     0.481
 38816.149, 60500.000,  -205.272,     0.975
 22677.019, 60500.000,  -199.490,     0.325
 27765.217, 60500.000,  -231.293,     0.914
 57976.398, 60500.000,  -185.034,     0.507
 26493.168, 60500.000,  -245.748,     0.580
 23790.062, 60500.000,  -211.054,     0.745
 20371.429, 60500.000,  -153.231,     0.584
 48436.025, 60500.000,  -225.510,     0.847
 17032.298, 60500.000,  -190.816,     0.851
 25777.640, 60500.000,  -156.122,     0.450
 49946.584, 60500.000,  -216.837,     0.780
 54080.745, 60500.000,  -205.272,     0.956
 28957.764, 60500.000,  -182.143,     0.902
 31819.876, 60500.000,  -202.381,     0.567
 19814.907, 60500.000,  -147.449,     0.690
 56068.323, 60500.000,  -268.878,     0.659
