#X,Y,Z,attr 
 27924.224, 60500.000,  -196.599,     0.532
 53603.727, 60500.000,  -156.122,     0.459
 22120.497, 60500.000,  -138.776,     0.514
 42393.789, 60500.000,  -190.816,     0.910
 38736.646, 60500.000,  -124.320,     0.813
 57817.391, 60500.000,  -176.361,     0.370
 28003.727, 60500.000,  -199.490,     0.376
 31183.851, 60500.000,  -176.361,     0.897
 49151.553, 60500.000,  -277.551,     0.180
 47322.981, 60500.000,  -211.054,     0.852
 22836.025, 60500.000,  -144.558,     0.910
 30547.826, 60500.000,  -219.728,     0.963
 58691.925, 60500.000,  -132.993,     0.819
 33886.957, 60500.000,  -251.531,     0.853
 53206.211, 60500.000,  -222.619,     0.832
 52808.696, 60500.000,  -225.510,     0.851
 52331.677, 60500.000,  -268.878,     0.980
 44540.373, 60500.000,  -205.272,     0.896
 25380.124, 60500.000,  -153.231,     0.415
 30706.832, 60500.000,  -225.510,     0.916
 24585.093, 60500.000,  -147.449,     0.496
 35238.509, 60500.000,  -190.816,     0.309
 58135.404, 60500.000,  -193.707,     0.918
 47004.969, 60500.000,  -228.401,     0.723
 52808.696, 60500.000,  -248.639,     0.894
 42632.298, 60500.000,  -263.095,     0.657
 45255.901, 60500.000,  -130.102,     0.910
 59884.472, 60500.000,  -167.687,     0.208
 56386.335, 60500.000,  -211.054,     0.596
 33568.944, 60500.000,  -156.122,     0.719
 18781.366, 60500.000,  -208.163,     0.225
 27526.708, 60500.000,  -225.510,     0.905
 59486.957, 60500.000,  -265.986,     0.918
 51536.646, 60500.000,  -127.211,     0.528
 29434.783, 60500.000,  -173.469,     0.753
 54398.758, 60500.000,  -271.769,     0.662
 35238.509, 60500.000,  -199.490,     0.601
 20291.925, 60500.000,  -153.231,     0.513
 51298.137, 60500.000,  -187.925,     0.940
 50503.106, 60500.000,  -265.986,     0.934
 33330.435, 60500.000,  -196.599,     0.366
 43109.317, 60500.000,  -182.143,     0.885
 11308.075, 60500.000,  -164.796,     0.646
 55432.298, 60500.000,  -150.340,     0.592
 15124.224, 60500.000,  -182.143,     0.422
 34284.472, 60500.000,  -257.313,     0.929
 47481.988, 60500.000,  -147.449,     0.922
 59248.447, 60500.000,  -265.986,     0.896
 31581.366, 60500.000,  -159.014,     0.805
 57101.863, 60500.000,  -234.184,     0.930
 46766.460, 60500.000,  -271.769,     0.857
 27129.193, 60500.000,  -161.905,     0.569
 36590.062, 60500.000,  -239.966,     0.901
 41916.770, 60500.000,  -156.122,     0.759
 24823.602, 60500.000,  -150.340,     0.475
 43983.851, 60500.000,  -170.578,     0.401
 29911.801, 60500.000,  -161.905,     0.775
 10672.050, 60500.000,  -182.143,     0.278
 32058.385, 60500.000,  -222.619,     0.695
 12500.621, 60500.000,  -156.122,     0.725
 39849.689, 60500.000,  -187.925,     0.854
 44619.876, 60500.000,  -130.102,     0.881
 43029.814, 60500.000,  -193.707,     0.514
 35556.522, 60500.000,  -127.211,     0.215
 39134.161, 60500.000,  -216.837,     0.527
 60361.491, 60500.000,  -283.333,     0.676
 39452.174, 60500.000,  -222.619,     0.929
 17747.826, 60500.000,  -193.707,     0.526
 10513.043, 60500.000,  -161.905,     0.560
 22836.025, 60500.000,  -185.034,     0.762
 54875.776, 60500.000,  -141.667,     0.521
 48515.528, 60500.000,  -127.211,     0.931
 31740.373, 60500.000,  -190.816,     0.247
 41280.745, 60500.000,  -254.422,     0.760
 45096.894, 60500.000,  -150.340,     0.537
 46686.957, 60500.000,  -208.163,     0.909
 28560.248, 60500.000,  -161.905,     0.824
 40883.230, 60500.000,  -161.905,     0.845
 31740.373, 60500.000,  -193.707,     0.252
 32455.901, 60500.000,  -248.639,     0.843
 52967.702, 60500.000,  -141.667,     0.771
 57658.385, 60500.000,  -164.796,     0.318
 34125.466, 60500.000,  -164.796,     0.708
 25459.627, 60500.000,  -245.748,     0.189
 39372.671, 60500.000,  -263.095,     0.650
 35874.534, 60500.000,  -187.925,     0.290
 18224.845, 60500.000,  -138.776,     0.376
 49469.565, 60500.000,  -121.429,     0.402
 52490.683, 60500.000,  -213.946,     0.664
 49072.050, 60500.000,  -271.769,     0.898
 56465.839, 60500.000,  -124.320,     0.393
 54875.776, 60500.000,  -179.252,     0.216
 17906.832, 60500.000,  -190.816,     0.725
 42791.304, 60500.000,  -185.034,     0.803
 58850.932, 60500.000,  -127.211,     0.882
 40644.720, 60500.000,  -135.884,     0.762
 12341.615, 60500.000,  -182.143,     0.602
 28242.236, 60500.000,  -245.748,     0.910
 25777.640, 60500.000,  -205.272,     0.340
 48913.043, 60500.000,  -260.204,     0.469
 24664.596, 60500.000,  -176.361,     0.539
 58373.913, 60500.000,  -248.639,     0.562
 15601.242, 60500.000,  -173.469,     0.798
 17827.329, 60500.000,  -141.667,     0.337
 31183.851, 60500.000,  -239.966,     0.946
 44301.863, 60500.000,  -135.884,     0.809
 33409.938, 60500.000,  -205.272,     0.442
 23710.559, 60500.000,  -138.776,     0.532
 55193.789, 60500.000,  -277.551,     0.815
 14249.689, 60500.000,  -141.667,     0.401
 52649.689, 60500.000,  -216.837,     0.621
