#X,Y,Z,attr 
 35954.037, 60500.000,  -274.660,     0.305
 21245.963, 60500.000,  -248.639,     0.855
 42314.286, 60500.000,  -277.551,     0.961
 12818.634, 60500.000,  -219.728,     0.458
 51298.137, 60500.000,  -277.551,     0.914
 21802.484, 60500.000,  -248.639,     0.975
 40565.217, 60500.000,  -274.660,     0.875
 15203.727, 60500.000,  -199.490,     0.937
 29514.286, 60500.000,  -271.769,     0.917
 14011.180, 60500.000,  -196.599,     0.898
 12739.130, 60500.000,  -234.184,     0.858
 43586.335, 60500.000,  -286.224,     0.759
 49231.056, 60500.000,  -286.224,     0.883
 40088.199, 60500.000,  -286.224,     0.298
 19337.888, 60500.000,  -251.531,     0.825
 16475.776, 60500.000,  -208.163,     0.533
 18463.354, 60500.000,  -245.748,     0.891
 41996.273, 60500.000,  -280.442,     0.978
 21563.975, 60500.000,  -231.293,     0.734
 17350.311, 60500.000,  -234.184,     0.763
 21802.484, 60500.000,  -225.510,     0.447
 43904.348, 60500.000,  -277.551,     0.844
 41439.752, 60500.000,  -274.660,     0.914
 12341.615, 60500.000,  -202.381,     0.697
 40167.702, 60500.000,  -268.878,     0.531
 15521.739, 60500.000,  -237.075,     0.478
 32773.913, 60500.000,  -277.551,     0.766
 11149.068, 60500.000,  -190.816,     0.496
 14249.689, 60500.000,  -193.707,     0.529
 11546.584, 60500.000,  -239.966,     0.434
 42075.776, 60500.000,  -277.551,     0.979
 17111.801, 60500.000,  -202.381,     0.289
 17906.832, 60500.000,  -228.401,     0.569
 14090.683, 60500.000,  -234.184,     0.928
 59168.944, 60500.000,  -306.463,     0.535
 19496.894, 60500.000,  -222.619,     0.755
 22915.528, 60500.000,  -237.075,     0.952
 39293.168, 60500.000,  -283.333,     0.973
 39849.689, 60500.000,  -268.878,     0.576
 37464.596, 60500.000,  -286.224,     0.726
 57817.391, 60500.000,  -286.224,     0.702
 44381.366, 60500.000,  -277.551,     0.947
 48595.031, 60500.000,  -280.442,     0.583
 32773.913, 60500.000,  -274.660,     0.878
 53603.727, 60500.000,  -283.333,     0.948
 26175.155, 60500.000,  -268.878,     0.118
 58055.901, 60500.000,  -294.898,     0.883
 20212.422, 60500.000,  -216.837,     0.291
 16952.795, 60500.000,  -225.510,     0.840
 57260.870, 60500.000,  -280.442,     0.370
 15680.745, 60500.000,  -205.272,     0.670
 15919.255, 60500.000,  -211.054,     0.480
 55670.807, 60500.000,  -306.463,     0.174
 31024.845, 60500.000,  -271.769,     0.864
 53365.217, 60500.000,  -289.116,     0.923
 23392.547, 60500.000,  -245.748,     0.878
 24426.087, 60500.000,  -245.748,     0.938
 16714.286, 60500.000,  -237.075,     0.859
 17350.311, 60500.000,  -208.163,     0.502
 13454.658, 60500.000,  -205.272,     0.775
 38498.137, 60500.000,  -283.333,     0.976
 47163.975, 60500.000,  -289.116,     0.828
 37226.087, 60500.000,  -289.116,     0.275
 59566.460, 60500.000,  -297.789,     0.819
 21325.466, 60500.000,  -242.857,     0.911
 10592.547, 60500.000,  -205.272,     0.851
 21166.460, 60500.000,  -228.401,     0.675
 11149.068, 60500.000,  -219.728,     0.453
 15521.739, 60500.000,  -239.966,     0.478
 32058.385, 60500.000,  -265.986,     0.528
 57976.398, 60500.000,  -300.680,     0.954
 36272.050, 60500.000,  -277.551,     0.654
  9877.019, 60500.000,  -222.619,     0.827
 35874.534, 60500.000,  -283.333,     0.772
 55034.783, 60500.000,  -283.333,     0.514
 50026.087, 60500.000,  -292.007,     0.273
 48992.547, 60500.000,  -286.224,     0.943
 15839.752, 60500.000,  -216.837,     0.429
 33489.441, 60500.000,  -280.442,     0.465
 12818.634, 60500.000,  -225.510,     0.705
 51139.130, 60500.000,  -277.551,     0.922
 47879.503, 60500.000,  -280.442,     0.588
 59327.950, 60500.000,  -289.116,     0.502
 18542.857, 60500.000,  -254.422,     0.183
 19735.404, 60500.000,  -228.401,     0.785
 41360.248, 60500.000,  -280.442,     0.875
 10513.043, 60500.000,  -239.966,     0.595
 58532.919, 60500.000,  -286.224,     0.706
 44381.366, 60500.000,  -271.769,     0.718
 15203.727, 60500.000,  -216.837,     0.342
 17906.832, 60500.000,  -242.857,     0.920
 12659.627, 60500.000,  -222.619,     0.559
 31422.360, 60500.000,  -260.204,     0.358
 47084.472, 60500.000,  -289.116,     0.896
 55909.317, 60500.000,  -294.898,     0.911
 49151.553, 60500.000,  -292.007,     0.897
 17191.304, 60500.000,  -234.184,     0.734
 52252.174, 60500.000,  -280.442,     0.631
 39134.161, 60500.000,  -280.442,     0.925
 24108.075, 60500.000,  -239.966,     0.518
 58214.907, 60500.000,  -286.224,     0.465
 22518.012, 60500.000,  -245.748,     0.885
  9956.522, 60500.000,  -237.075,     0.894
 45414.907, 60500.000,  -286.224,     0.302
 60281.988, 60500.000,  -306.463,     0.610
 10354.037, 60500.000,  -219.728,     0.641
 18463.354, 60500.000,  -231.293,     0.604
 47004.969, 60500.000,  -277.551,     0.615
 15998.758, 60500.000,  -208.163,     0.496
 22995.031, 60500.000,  -231.293,     0.137
 21007.453, 60500.000,  -257.313,     0.310
 20450.932, 60500.000,  -219.728,     0.401
 41996.273, 60500.000,  -283.333,     0.962
 14885.714, 60500.000,  -234.184,     0.498
 42711.801, 60500.000,  -268.878,     0.635
 25857.143, 60500.000,  -263.095,     0.302
 56068.323, 60500.000,  -306.463,     0.220
 10354.037, 60500.000,  -222.619,     0.707
 10990.062, 60500.000,  -202.381,     0.826
 21484.472, 60500.000,  -242.857,     0.897
 15839.752, 60500.000,  -219.728,     0.442
 14567.702, 60500.000,  -208.163,     0.490
 39293.168, 60500.000,  -271.769,     0.565
 42473.292, 60500.000,  -292.007,     0.263
 43188.820, 60500.000,  -268.878,     0.600
 29355.280, 60500.000,  -265.986,     0.564
 11308.075, 60500.000,  -211.054,     0.945
 60043.478, 60500.000,  -309.354,     0.465
 19735.404, 60500.000,  -237.075,     0.910
 19258.385, 60500.000,  -248.639,     0.934
 12341.615, 60500.000,  -190.816,     0.822
 19337.888, 60500.000,  -237.075,     0.857
 18145.342, 60500.000,  -222.619,     0.616
 40803.727, 60500.000,  -268.878,     0.465
 17509.317, 60500.000,  -208.163,     0.606
 13216.149, 60500.000,  -234.184,     0.687
  9559.006, 60500.000,  -216.837,     0.851
 51934.161, 60500.000,  -286.224,     0.953
 41598.758, 60500.000,  -268.878,     0.569
 53762.733, 60500.000,  -289.116,     0.935
 13931.677, 60500.000,  -208.163,     0.614
 57817.391, 60500.000,  -289.116,     0.704
 41996.273, 60500.000,  -271.769,     0.820
 59089.441, 60500.000,  -294.898,     0.562
 16157.764, 60500.000,  -222.619,     0.505
 23392.547, 60500.000,  -237.075,     0.906
  9638.509, 60500.000,  -228.401,     0.805
 11149.068, 60500.000,  -228.401,     0.309
 37862.112, 60500.000,  -271.769,     0.568
 11785.093, 60500.000,  -222.619,     0.387
 14965.217, 60500.000,  -208.163,     0.630
 11864.596, 60500.000,  -208.163,     0.851
 20450.932, 60500.000,  -242.857,     0.890
 22677.019, 60500.000,  -231.293,     0.421
 10513.043, 60500.000,  -205.272,     0.886
 46845.963, 60500.000,  -280.442,     0.936
 17270.807, 60500.000,  -237.075,     0.804
 17191.304, 60500.000,  -222.619,     0.754
 14806.211, 60500.000,  -239.966,     0.191
 11467.081, 60500.000,  -211.054,     0.937
 10910.559, 60500.000,  -185.034,     0.893
 37305.590, 60500.000,  -283.333,     0.726
 31819.876, 60500.000,  -265.986,     0.470
 51377.640, 60500.000,  -277.551,     0.886
 51695.652, 60500.000,  -274.660,     0.631
 27367.702, 60500.000,  -271.769,     0.910
 19735.404, 60500.000,  -234.184,     0.882
  9479.503, 60500.000,  -231.293,     0.867
 51695.652, 60500.000,  -280.442,     0.925
 39531.677, 60500.000,  -277.551,     0.898
 17588.820, 60500.000,  -216.837,     0.503
 35715.528, 60500.000,  -274.660,     0.376
 51854.658, 60500.000,  -292.007,     0.282
 14249.689, 60500.000,  -237.075,     0.803
 27765.217, 60500.000,  -265.986,     0.841
 14170.186, 60500.000,  -234.184,     0.933
 15362.733, 60500.000,  -239.966,     0.472
 32932.919, 60500.000,  -268.878,     0.442
 41916.770, 60500.000,  -274.660,     0.847
 17350.311, 60500.000,  -202.381,     0.392
  9797.516, 60500.000,  -208.163,     0.824
 50026.087, 60500.000,  -277.551,     0.948
 31422.360, 60500.000,  -271.769,     0.835
