X,Y,Z,Porosity,Sequence
41600,74700,-432.28,47.9,m58
41600,74700,-433.99,48.3,m58
41600,74700,-434.95,49.7,m58
41600,74700,-436.79,50,m58
41600,74700,-437.82,48,m58
41600,74700,-439.42,49.2,m58
41600,74700,-440.7,48.5,m58
41600,74700,-442.81,48.6,m58
41600,74700,-444.01,51.1,m58
41600,74700,-445.58,49,m58
41600,74700,-448.35,51.8,m58
41600,74700,-449.85,55.7,m58
41600,74700,-451.4,51.7,m58
41600,74700,-452.91,54.6,m58
41600,74700,-454.35,53.8,m58
41600,74700,-455.86,49.6,m58
41600,74700,-457.48,55.1,m58
41600,74700,-458.96,56.5,m58
41600,74700,-460.66,50.9,m58
41600,74700,-462.05,57.4,m58
41600,74700,-463.52,58.9,m58
41600,74700,-464.62,53.3,m58
41600,74700,-466.68,54.9,m58
41600,74700,-466.69,54.4,m58
41600,74700,-468.31,54,m58
41600,74700,-469.47,48.6,m58
41600,74700,-469.69,48,m58
41600,74700,-471.19,42.5,m58
41600,74700,-473.05,41.6,m58
41600,74700,-474.3,38.5,m58
41600,74700,-475.96,42.6,m58
41600,74700,-477.5,44.9,m58
41600,74700,-479.01,43.1,m58
41600,74700,-480.51,43,m58
41600,74700,-481.91,40.9,m58
41600,74700,-483.44,40.2,m58
41600,74700,-484.94,42.2,m58
41600,74700,-487.09,42.1,m58
41600,74700,-488.01,45.3,m58
41600,74700,-489.78,37.6,m6
41600,74700,-491.68,37.6,m6
41600,74700,-492.79,37.1,m6
41600,74700,-493.28,27.6,m6
41600,74700,-493.97,44.2,m6
41600,74700,-494.51,34.6,m6
41600,74700,-495.57,43.5,m6
41600,74700,-497.35,39.7,m6
41600,74700,-498.61,39.3,m6
41600,74700,-499.96,38.5,m6
41600,74700,-500.21,37.1,m6
41600,74700,-501.66,44.5,m6
41600,74700,-502.91,35.1,m6
41600,74700,-504.65,38,m6
41600,74700,-506.52,42.2,m6
41600,74700,-506.99,43.9,m6
41600,74700,-508.49,39.8,m6
41600,74700,-513.46,39,o1
41600,74700,-513.62,41.2,o1
41600,74700,-515.82,42.7,o1
41600,74700,-517.34,36.2,o1
41600,74700,-517.43,36.6,o1
41600,74700,-518.66,37.5,o1
41600,74700,-518.92,44.9,o1
41600,74700,-519.88,37.1,o1
41600,74700,-521.64,35,o1
41600,74700,-523.14,35.8,o1
41600,74700,-525.24,36.2,o1
41600,74700,-526.79,39.7,o1
41600,74700,-527.41,32.7,o1
41600,74700,-527.56,32.5,o1
41600,74700,-528.91,37,o1
