X,Y,Z,Porosity,Sequence
41600,74700,-0.35,36.3,m1
41600,74700,-1.85,32.2,m1
41600,74700,-2.77,24.7,m1
41600,74700,-4.27,32.9,m1
41600,74700,-5.81,37.3,m1
41600,74700,-7.13,36.2,m1
41600,74700,-8.38,24.9,m1
41600,74700,-9.73,34.6,m1
41600,74700,-10.9,39.1,m1
41600,74700,-12.38,38.4,m1
41600,74700,-13.39,17.5,m1
41600,74700,-13.51,30.6,m1
41600,74700,-15.01,36.3,m1
41600,74700,-15.61,46.8,m1
41600,74700,-17.04,36.1,m1
41600,74700,-17.99,44.9,m1
41600,74700,-19.48,47,m1
41600,74700,-20.46,51.3,m1
41600,74700,-21.62,51,m1
41600,74700,-22.03,54.1,m1
41600,74700,-23.03,43.1,m1
41600,74700,-24.53,34.9,m1
41600,74700,-25.68,38.1,m1
41600,74700,-26.44,45.8,m1
41600,74700,-28.21,46.3,m1
41600,74700,-29.66,38.7,m1
41600,74700,-30.18,39,m1
41600,74700,-31.93,49.4,m1
41600,74700,-32.82,44.2,m1
41600,74700,-38.94,46.8,m1
41600,74700,-41.7,42.7,m1
41600,74700,-42.27,40.6,m1
41600,74700,-46.18,42.7,m1
41600,74700,-47.3,36.9,m1
41600,74700,-48.42,37.4,m1
41600,74700,-49.65,41.8,m1
41600,74700,-53.06,39.1,m1
41600,74700,-56.32,36.5,m1
41600,74700,-62.12,39.5,m1
41600,74700,-71.27,41.6,m1
41600,74700,-74.34,43.1,m1
41600,74700,-75.65,37.8,m1
41600,74700,-77.37,39.8,m1
41600,74700,-78.22,37.4,m1
41600,74700,-78.62,40.1,m1
41600,74700,-79.12,38.2,m1
41600,74700,-80.06,46.5,m1
41600,74700,-80.41,25.5,m1
41600,74700,-83.22,34.2,m1
41600,74700,-85.42,42.8,m1
41600,74700,-86.87,42,m1
41600,74700,-88.37,41.4,m1
41600,74700,-89.48,36.5,m1
41600,74700,-92.62,40.2,m1
41600,74700,-95.67,34.3,m41
41600,74700,-110.7,34.8,m41
41600,74700,-135.44,33.8,m41
41600,74700,-138.37,25.4,m41
41600,74700,-159.35,47.7,m41
41600,74700,-166.11,36.7,m41
41600,74700,-174.83,48.1,m41
41600,74700,-175.64,44.4,m41
41600,74700,-176.91,41.3,m41
41600,74700,-178.01,45,m41
41600,74700,-182.98,37.5,m41
41600,74700,-186.06,45.4,m41
41600,74700,-186.06,45.4,m41
41600,74700,-189.08,39.1,m41
41600,74700,-192.04,44.5,m41
41600,74700,-192.04,44.9,m41
41600,74700,-192.89,45,m41
41600,74700,-194.29,45.9,m41
41600,74700,-195.19,44.1,m41
41600,74700,-195.94,42.1,m41
41600,74700,-195.94,42.8,m41
41600,74700,-197.44,41.8,m41
41600,74700,-198.39,45.6,m41
41600,74700,-199.98,42.1,m41
41600,74700,-202.06,48.1,m41
41600,74700,-202.84,47.6,m41
41600,74700,-204.15,46.6,m41
41600,74700,-204.49,48,m41
41600,74700,-205.89,47.1,m41
41600,74700,-207.45,54.1,m41
41600,74700,-208.95,47.1,m41
41600,74700,-209.27,49.5,m41
41600,74700,-210.82,52.8,m5
41600,74700,-211.21,55.3,m5
41600,74700,-212.73,46.5,m5
41600,74700,-213.51,46.8,m5
41600,74700,-215.01,49,m5
41600,74700,-216.41,62.7,m5
41600,74700,-216.86,66.8,m5
41600,74700,-217.95,53.3,m5
41600,74700,-218.55,54.8,m5
41600,74700,-219.25,49.1,m5
41600,74700,-219.66,55.3,m5
41600,74700,-221.16,53.2,m5
41600,74700,-222.47,43.9,m5
41600,74700,-222.64,53.1,m5
41600,74700,-225.39,37.3,m5
41600,74700,-226.27,52.2,m5
41600,74700,-227.56,53.6,m5
41600,74700,-228.61,56.3,m5
41600,74700,-230.19,48.5,m5
41600,74700,-231.86,46.9,m5
41600,74700,-234.66,45.9,m54
41600,74700,-235.38,46,m54
41600,74700,-236.52,57.6,m54
41600,74700,-237.79,54.7,m54
41600,74700,-238.9,54.6,m54
41600,74700,-240.3,51,m54
41600,74700,-241.06,53.5,m54
41600,74700,-242.22,57.3,m54
41600,74700,-242.72,52.3,m54
41600,74700,-242.72,54.5,m54
41600,74700,-244.63,65.1,m54
41600,74700,-246.13,63.1,m54
41600,74700,-247.62,63.4,m54
41600,74700,-249.13,57.5,m54
41600,74700,-250.33,53.2,m54
41600,74700,-251.87,60.4,m54
41600,74700,-253.95,57.2,m54
41600,74700,-254.84,58.2,m54
41600,74700,-256.88,58.9,m54
41600,74700,-258.55,60.8,m54
41600,74700,-259.65,61,m54
41600,74700,-261.48,60,m54
41600,74700,-262.09,61,m54
41600,74700,-263.16,61.6,m54
41600,74700,-264.76,62.6,m54
41600,74700,-265.48,61,m54
41600,74700,-266.95,55.2,m54
41600,74700,-269.3,56.4,m54
41600,74700,-271.85,47.6,m54
41600,74700,-272.89,46.2,m54
41600,74700,-274.46,51.6,m54
41600,74700,-275.93,49.3,m54
41600,74700,-277.19,52.1,m54
41600,74700,-278.06,48.2,m54
41600,74700,-279.55,53.2,m54
41600,74700,-281.24,53.2,m54
41600,74700,-282.77,55.2,m54
41600,74700,-283.68,56.8,m54
41600,74700,-285.2,53,m54
41600,74700,-286.96,52,m54
41600,74700,-288.48,56.7,m54
41600,74700,-289.76,54.4,m54
41600,74700,-291.14,58.7,m54
41600,74700,-293.16,58.5,m54
41600,74700,-294.66,49,m54
41600,74700,-295.86,45.7,m54
41600,74700,-297.36,46.9,m54
41600,74700,-299.26,53,m54
41600,74700,-300.77,50.1,m54
41600,74700,-301.65,51.7,m54
41600,74700,-301.96,48.6,m54
41600,74700,-303.44,48.3,m54
41600,74700,-304.73,47.1,m54
41600,74700,-305.25,52.9,m54
41600,74700,-306.86,54.7,m58
41600,74700,-308.05,56.4,m58
41600,74700,-309.65,47.1,m58
41600,74700,-311.53,45.5,m58
41600,74700,-313.03,46.9,m58
41600,74700,-314.16,50.4,m58
41600,74700,-315.71,53.2,m58
41600,74700,-316.42,49,m58
41600,74700,-317.47,49,m58
41600,74700,-318.7,49.1,m58
41600,74700,-320.29,50.2,m58
41600,74700,-321.72,52.4,m58
41600,74700,-323.22,49.5,m58
41600,74700,-323.54,54.6,m58
41600,74700,-325.04,47.5,m58
41600,74700,-326.04,48.6,m58
41600,74700,-327.08,47.2,m58
41600,74700,-328.79,43.9,m58
41600,74700,-329.36,48.9,m58
41600,74700,-330.9,47,m58
41600,74700,-333,43.2,m58
41600,74700,-334.34,43.9,m58
41600,74700,-335.66,50.6,m58
41600,74700,-337.16,40.5,m58
41600,74700,-337.16,39.5,m58
41600,74700,-338.89,39.7,m58
41600,74700,-339.3,33.7,m58
41600,74700,-339.55,36.1,m58
41600,74700,-339.83,32,m58
41600,74700,-341.64,33.7,m58
41600,74700,-344.87,38.5,m58
41600,74700,-348.07,37.8,m58
41600,74700,-350.66,41.5,m58
41600,74700,-354.5,42.1,m58
41600,74700,-355.23,31.1,m58
41600,74700,-356.56,41.1,m58
41600,74700,-360.08,32.6,m58
41600,74700,-366.64,38.2,m58
41600,74700,-369.22,45,m58
41600,74700,-372.12,48.1,m58
41600,74700,-373.2,51,m58
41600,74700,-375.16,45.3,m58
41600,74700,-376.66,44.1,m58
41600,74700,-378.21,38.2,m58
41600,74700,-379.71,41,m58
41600,74700,-381.91,39.1,m58
41600,74700,-382.76,38.5,m58
41600,74700,-384.31,40.4,m58
41600,74700,-385.81,39,m58
41600,74700,-387.27,39.6,m58
41600,74700,-389.49,41,m58
41600,74700,-390.2,42.4,m58
41600,74700,-391.75,55.4,m58
41600,74700,-393.91,27.4,m58
41600,74700,-397,40.6,m58
41600,74700,-399.81,29.5,m58
41600,74700,-402.99,39.8,m58
41600,74700,-404.15,39.9,m58
41600,74700,-405.44,38.2,m58
41600,74700,-408.71,41.5,m58
41600,74700,-410.22,38.3,m58
41600,74700,-411.74,41.5,m58
41600,74700,-413.24,38.7,m58
41600,74700,-414.96,38.2,m58
41600,74700,-416.46,38.7,m58
41600,74700,-417.84,37.2,m58
41600,74700,-419.34,39.9,m58
41600,74700,-420.94,45.2,m58
41600,74700,-422.46,45.2,m58
41600,74700,-423.91,47,m58
41600,74700,-425.42,47.8,m58
41600,74700,-426.84,50.4,m58
41600,74700,-428.84,53.5,m58
41600,74700,-430.26,49.9,m58
