X,Y,Z,Porosity,Sequence
40800,57800,-507.27,23.9,m54
40800,57800,-508.82,22.3,m54
40800,57800,-510.28,41.9,m54
40800,57800,-511.88,38.7,m54
40800,57800,-513.27,44.2,m58
40800,57800,-514.82,49.2,m58
40800,57800,-516.5,45.7,m58
40800,57800,-517.85,47.9,m58
40800,57800,-519.82,43.2,m58
40800,57800,-521.36,42.5,m58
40800,57800,-522.87,44.2,m58
40800,57800,-524.37,48.8,m58
40800,57800,-524.82,47.3,m58
40800,57800,-526.15,42.6,m58
40800,57800,-527.36,43.3,m58
40800,57800,-527.87,53.5,m58
40800,57800,-529.41,38.2,m58
40800,57800,-529.94,24.6,m58
40800,57800,-531.06,25,m58
40800,57800,-531.57,33.2,m58
40800,57800,-533.73,13.3,m58
40800,57800,-535.26,26.9,m58
40800,57800,-536.07,25.5,m58
40800,57800,-537.54,30.3,m58
40800,57800,-539.02,30.4,m58
40800,57800,-541.47,38.7,m58
40800,57800,-542.12,26,m58
40800,57800,-543.21,30.9,m58
40800,57800,-544.14,32.6,m58
40800,57800,-547.17,43.3,m58
40800,57800,-548.99,53.4,m58
40800,57800,-550.17,45.4,m58
40800,57800,-551.66,42.8,m58
40800,57800,-553.56,43.5,m58
40800,57800,-555.15,40.9,m58
40800,57800,-556.62,36.6,m58
40800,57800,-558.02,39,m58
40800,57800,-559.34,40.3,m58
40800,57800,-561.06,31.1,m58
40800,57800,-562.63,39,m58
40800,57800,-564.16,36.8,m58
40800,57800,-565.12,32.4,m58
40800,57800,-566.64,35.9,m58
40800,57800,-568.2,41.2,m58
40800,57800,-569.73,37.3,m58
40800,57800,-571.17,34.4,m58
40800,57800,-572.47,33.6,m58
40800,57800,-573.78,31.5,m58
40800,57800,-574.3,33.3,m58
40800,57800,-575.74,30.6,m58
40800,57800,-576.42,31.7,m58
40800,57800,-577.61,33.5,m58
40800,57800,-578.77,32.6,m58
40800,57800,-579.54,32.8,m58
40800,57800,-580.7,31.9,m58
40800,57800,-582.01,35.4,m58
40800,57800,-582.66,34.8,m58
40800,57800,-583.75,35.5,m58
40800,57800,-583.75,42.1,m58
