X,Y,Z,Porosity,unit
40100,46300,-515.16,48.9,m54
40100,46300,-517.35,49.5,m54
40100,46300,-518.54,53.4,m54
40100,46300,-520.04,48.4,m54
40100,46300,-521.49,54.8,m54
40100,46300,-522.91,50.3,m54
40100,46300,-524.02,50.2,m54
40100,46300,-524.26,47.9,m54
40100,46300,-527.94,51.4,m54
40100,46300,-528.04,45.9,m54
40100,46300,-530.49,51.8,m54
40100,46300,-532.02,47.4,m54
40100,46300,-533.74,49.3,m54
40100,46300,-535.26,52.7,m54
40100,46300,-537.07,46.9,m54
40100,46300,-538.27,51.3,m54
40100,46300,-539.76,51.8,m54
40100,46300,-540.36,48.7,m54
40100,46300,-541.82,49.1,m54
40100,46300,-542.71,49,m54
40100,46300,-544.22,46,m54
40100,46300,-545.82,48.4,m54
40100,46300,-547.33,51.2,m54
40100,46300,-548.87,47.2,m54
40100,46300,-550.87,49.6,m54
40100,46300,-551.99,48.9,m54
40100,46300,-555.51,49.4,m54
40100,46300,-556.21,48.1,m54
40100,46300,-557.01,49.4,m54
40100,46300,-558.22,63.5,m54
40100,46300,-559.46,62.3,m54
40100,46300,-560.9,49.9,m54
40100,46300,-562.53,49.9,m54
40100,46300,-563.26,52.6,m54
40100,46300,-564.19,50.8,m54
40100,46300,-565.35,46.7,m54
40100,46300,-566.35,46.8,m54
40100,46300,-567.15,56.1,m54
40100,46300,-568.65,52.2,m54
40100,46300,-570.19,51.8,m54
40100,46300,-571.39,55.4,m54
40100,46300,-572.59,58.4,m54
40100,46300,-573.76,54.1,m54
40100,46300,-575.26,50.3,m54
40100,46300,-576.16,48,m54
40100,46300,-578.38,51.4,m54
40100,46300,-579.21,56.1,m54
40100,46300,-580.75,55.8,m54
40100,46300,-582.26,55,m54
40100,46300,-583.76,49.4,m54
40100,46300,-585.36,52.8,m54
40100,46300,-585.36,47.9,m54
40100,46300,-588.46,56.4,m54
40100,46300,-589.96,56.6,m54
40100,46300,-591.68,53,m54
40100,46300,-592.85,49.4,m54
40100,46300,-594.61,53,m54
40100,46300,-596.14,55.8,m54
40100,46300,-597.89,62.7,m54
40100,46300,-599.46,53.2,m54
40100,46300,-601.03,56,m54
40100,46300,-602.57,52.1,m54
40100,46300,-603.76,43.4,m54
40100,46300,-605.29,40.4,m54
40100,46300,-606.81,43.6,m54
40100,46300,-608.17,53.6,m54
40100,46300,-610.41,42.1,m54
40100,46300,-613.41,40,m54
40100,46300,-614.52,43.4,m54
40100,46300,-616.18,38.6,m54
40100,46300,-617.93,41.6,m54
40100,46300,-619.46,40.6,m54
40100,46300,-620.97,53.1,m54
40100,46300,-621.98,48.8,m54
40100,46300,-623.48,54.3,m54
40100,46300,-625.13,44.2,m54
40100,46300,-628.23,40.5,m54
40100,46300,-629.74,49.1,m54
40100,46300,-631.86,45.7,m54
40100,46300,-633.38,38.4,m54
40100,46300,-634.33,43.5,m54
40100,46300,-636.23,29.1,m54
40100,46300,-637.3,40.5,m54
40100,46300,-638.66,44.8,m54
40100,46300,-640.61,41.9,m54
40100,46300,-642.12,56.9,m54
40100,46300,-643.36,56.3,m54
40100,46300,-650.04,16.2,m54
40100,46300,-650.45,44,m54
40100,46300,-651.41,54.4,m54
40100,46300,-651.53,57.5,m54
40100,46300,-652.56,54.4,m54
40100,46300,-654.09,56.1,m54
40100,46300,-656.02,58.6,m54
40100,46300,-657.56,55.8,m54
40100,46300,-658.66,55.1,m54
40100,46300,-660.16,55,m54
40100,46300,-661.96,57.1,m54
40100,46300,-663.52,48.2,m54
40100,46300,-664.73,38.4,m54
40100,46300,-665.99,37.7,m54
40100,46300,-666.88,31.4,m58
40100,46300,-667.78,25.6,m58
40100,46300,-669.13,34,m58
40100,46300,-670.78,25.2,m58
40100,46300,-672.12,24.4,m58
40100,46300,-672.78,43.5,m58
40100,46300,-673.92,49.3,m58
40100,46300,-677.1,55.8,m58
40100,46300,-678.72,56,m58
40100,46300,-680.55,57.1,m58
40100,46300,-681.26,56.8,m58
40100,46300,-682.96,59.5,m58
40100,46300,-684.47,51.5,m58
40100,46300,-685.78,47.4,m58
40100,46300,-686.28,43.6,m58
40100,46300,-687.9,53.2,m58
40100,46300,-689.22,53.3,m58
40100,46300,-690.73,51.7,m58
40100,46300,-692.31,45.7,m58
40100,46300,-693.8,49.9,m58
40100,46300,-695.08,50.3,m58
40100,46300,-695.41,44.2,m58
40100,46300,-696.93,37.8,m58
40100,46300,-698.34,36.8,m58
40100,46300,-699.84,33.4,m58
40100,46300,-701.41,39,m58
40100,46300,-702.9,37.6,m58
40100,46300,-704.56,32.2,m58
40100,46300,-706.06,35.2,m58
40100,46300,-707.25,43.1,m58
40100,46300,-710.97,51.4,m58
40100,46300,-712.18,54.1,m58
40100,46300,-713.3,53.2,m58
40100,46300,-714.01,62.6,m58
40100,46300,-714.89,61.9,m58
40100,46300,-716.61,52.1,m58
40100,46300,-719.66,53,m58
40100,46300,-721.14,55.2,m58
40100,46300,-725.8,30.2,m58
40100,46300,-727.31,34.6,m58
40100,46300,-728.98,45.1,m58
40100,46300,-730.22,42.7,m58
40100,46300,-732.35,45.8,m58
40100,46300,-733.39,38.7,m58
40100,46300,-734.77,41.9,m58
40100,46300,-734.91,40,m58
40100,46300,-736.41,40.1,m58
40100,46300,-737.66,40.5,m58
40100,46300,-737.96,43.8,m58
40100,46300,-739.29,43.6,m58
40100,46300,-741,44.1,m58
40100,46300,-742.51,43.2,m58
40100,46300,-743.83,39.5,m58
40100,46300,-747.18,43.7,m58
40100,46300,-747.21,43.8,m58
40100,46300,-748.8,41.5,m58
40100,46300,-753.1,46.2,m58
40100,46300,-754.62,44.5,m58
40100,46300,-756,44.2,m58
