X,Y,Z,formation
22500,61500,-292.4,m4_1
68500,63000,-183.7,m4_1
46500,65000,-253.6,m4_1
24500,67000,-277.4,m4_1
2500,69000,-310.2,m4_1
48500,70500,-228.9,m4_1
26500,72500,-270.1,m4_1
4500,74500,-296.9,m4_1
50500,76000,-198.8,m4_1
28500,78000,-262.4,m4_1
6500,80000,-279.4,m4_1
52500,81500,-171.8,m4_1
30500,83500,-259.9,m4_1
8500,85500,-265.2,m4_1
54500,87000,-144.8,m4_1
32500,89000,-227.9,m4_1
10500,91000,-246.8,m4_1
56500,92500,-115.8,m4_1
34500,94500,-198.4,m4_1
12500,96500,-222.3,m4_1
58500,98000,-84.1,m4_1
36500,100000,-161.7,m4_1
14500,102000,-189.6,m4_1
60500,103500,-75.6,m4_1
38500,105500,-128.1,m4_1
16500,107500,-165.5,m4_1
62500,109000,-67.8,m4_1
40500,111000,-101,m4_1
18500,113000,-136.9,m4_1
64500,114500,-60,m4_1
42500,116500,-64.7,m4_1
20500,118500,-109.6,m4_1
66500,120000,-53,m4_1
44500,122000,-49.3,m4_1
22500,124000,-82.3,m4_1
68500,125500,-45.7,m4_1
46500,127500,-42.3,m4_1
24500,129500,-51.6,m4_1
2500,131500,-112.7,m4_1
48500,133000,-37.1,m4_1
46500,2500,-828.7,m5
24500,4500,-970.4,m5
2500,6500,-1098.1,m5
48500,8000,-780.8,m5
26500,10000,-919.3,m5
4500,12000,-1022.8,m5
50500,13500,-738.6,m5
28500,15500,-874.8,m5
6500,17500,-943.3,m5
52500,19000,-717.7,m5
30500,21000,-788,m5
8500,23000,-864.9,m5
54500,24500,-694.5,m5
32500,26500,-737.3,m5
10500,28500,-808.2,m5
56500,30000,-660,m5
34500,32000,-693.3,m5
12500,34000,-751.6,m5
58500,35500,-629.8,m5
36500,37500,-650.7,m5
14500,39500,-698.7,m5
60500,41000,-582.6,m5
38500,43000,-603.6,m5
16500,45000,-620.8,m5
62500,46500,-468.8,m5
40500,48500,-477.3,m5
18500,50500,-503.9,m5
64500,52000,-363.2,m5
42500,54000,-344.6,m5
20500,56000,-379.6,m5
66500,57500,-296.2,m5
44500,59500,-309.1,m5
22500,61500,-324.9,m5
68500,63000,-251.7,m5
46500,65000,-283.2,m5
24500,67000,-314.2,m5
2500,69000,-342.2,m5
48500,70500,-262.2,m5
26500,72500,-289.9,m5
4500,74500,-328.9,m5
50500,76000,-245.2,m5
28500,78000,-273.7,m5
6500,80000,-312.1,m5
52500,81500,-219.5,m5
30500,83500,-259.9,m5
8500,85500,-281.1,m5
54500,87000,-179.7,m5
32500,89000,-227.9,m5
10500,91000,-246.8,m5
56500,92500,-132.6,m5
34500,94500,-198.4,m5
12500,96500,-222.3,m5
58500,98000,-101.2,m5
36500,100000,-161.7,m5
14500,102000,-189.6,m5
60500,103500,-90,m5
38500,105500,-128.1,m5
16500,107500,-165.5,m5
62500,109000,-81.4,m5
40500,111000,-101,m5
18500,113000,-136.9,m5
64500,114500,-64.3,m5
42500,116500,-80.8,m5
20500,118500,-109.6,m5
66500,120000,-53,m5
44500,122000,-64.1,m5
22500,124000,-82.3,m5
68500,125500,-45.7,m5
46500,127500,-42.3,m5
24500,129500,-51.6,m5
2500,131500,-112.7,m5
48500,133000,-37.1,m5
46500,2500,-877.9,m5_4
24500,4500,-1124.1,m5_4
2500,6500,-1224.8,m5_4
48500,8000,-830.1,m5_4
26500,10000,-1070.7,m5_4
4500,12000,-1205.5,m5_4
50500,13500,-793.7,m5_4
28500,15500,-1015.2,m5_4
6500,17500,-1169.4,m5_4
52500,19000,-782.9,m5_4
30500,21000,-929.1,m5_4
8500,23000,-1120.6,m5_4
54500,24500,-769,m5_4
32500,26500,-887.5,m5_4
10500,28500,-1059.9,m5_4
56500,30000,-747.9,m5_4
34500,32000,-839.3,m5_4
12500,34000,-986.5,m5_4
58500,35500,-722.9,m5_4
36500,37500,-790.6,m5_4
14500,39500,-921.6,m5_4
60500,41000,-689.5,m5_4
38500,43000,-744,m5_4
16500,45000,-852.9,m5_4
62500,46500,-631.8,m5_4
40500,48500,-677.5,m5_4
18500,50500,-770,m5_4
64500,52000,-553.9,m5_4
42500,54000,-589.2,m5_4
20500,56000,-666.3,m5_4
66500,57500,-468.3,m5_4
44500,59500,-476.3,m5_4
22500,61500,-550.1,m5_4
68500,63000,-381.3,m5_4
46500,65000,-379,m5_4
24500,67000,-438.3,m5_4
2500,69000,-497.7,m5_4
48500,70500,-341.4,m5_4
26500,72500,-391.7,m5_4
4500,74500,-421.9,m5_4
50500,76000,-309.9,m5_4
28500,78000,-361.8,m5_4
6500,80000,-386.1,m5_4
52500,81500,-267.5,m5_4
30500,83500,-340,m5_4
8500,85500,-350.1,m5_4
54500,87000,-222.8,m5_4
32500,89000,-287.1,m5_4
10500,91000,-321.7,m5_4
56500,92500,-176.2,m5_4
34500,94500,-254.6,m5_4
12500,96500,-292.2,m5_4
58500,98000,-141.5,m5_4
36500,100000,-220.2,m5_4
14500,102000,-256.4,m5_4
60500,103500,-122,m5_4
38500,105500,-182.6,m5_4
16500,107500,-226.1,m5_4
62500,109000,-106.6,m5_4
40500,111000,-155,m5_4
18500,113000,-189.5,m5_4
64500,114500,-85.7,m5_4
42500,116500,-131.5,m5_4
20500,118500,-162.5,m5_4
66500,120000,-66.4,m5_4
44500,122000,-105.3,m5_4
22500,124000,-136,m5_4
68500,125500,-55.6,m5_4
46500,127500,-76.4,m5_4
24500,129500,-100.8,m5_4
2500,131500,-140.9,m5_4
48500,133000,-62.2,m5_4
46500,2500,-977.3,m5_8
24500,4500,-1247.2,m5_8
2500,6500,-1407,m5_8
48500,8000,-905.4,m5_8
26500,10000,-1192,m5_8
4500,12000,-1372.3,m5_8
50500,13500,-864.2,m5_8
28500,15500,-1131.6,m5_8
6500,17500,-1335.3,m5_8
52500,19000,-857.1,m5_8
30500,21000,-1045.1,m5_8
8500,23000,-1292.9,m5_8
54500,24500,-837.7,m5_8
32500,26500,-1004.9,m5_8
10500,28500,-1224.4,m5_8
56500,30000,-814.1,m5_8
34500,32000,-954,m5_8
12500,34000,-1165.8,m5_8
58500,35500,-780,m5_8
36500,37500,-909.7,m5_8
14500,39500,-1093.7,m5_8
60500,41000,-755.7,m5_8
38500,43000,-857.5,m5_8
16500,45000,-1021.7,m5_8
62500,46500,-706,m5_8
40500,48500,-779.9,m5_8
18500,50500,-919.3,m5_8
64500,52000,-643.9,m5_8
42500,54000,-717.8,m5_8
20500,56000,-813.8,m5_8
66500,57500,-595,m5_8
44500,59500,-666.8,m5_8
22500,61500,-740.4,m5_8
68500,63000,-526.4,m5_8
46500,65000,-608,m5_8
24500,67000,-686.8,m5_8
2500,69000,-750.7,m5_8
48500,70500,-559.1,m5_8
26500,72500,-611.1,m5_8
4500,74500,-701.1,m5_8
50500,76000,-449.6,m5_8
28500,78000,-559.9,m5_8
6500,80000,-637.6,m5_8
52500,81500,-342.9,m5_8
30500,83500,-483.2,m5_8
8500,85500,-566.5,m5_8
54500,87000,-271,m5_8
32500,89000,-378.5,m5_8
10500,91000,-507.1,m5_8
56500,92500,-200.7,m5_8
34500,94500,-312.5,m5_8
12500,96500,-376,m5_8
58500,98000,-160.1,m5_8
36500,100000,-268.5,m5_8
14500,102000,-315.4,m5_8
60500,103500,-156.3,m5_8
38500,105500,-237.9,m5_8
16500,107500,-277.3,m5_8
62500,109000,-160.6,m5_8
40500,111000,-208.4,m5_8
18500,113000,-241.9,m5_8
64500,114500,-152.1,m5_8
42500,116500,-181.3,m5_8
20500,118500,-218.2,m5_8
66500,120000,-140.7,m5_8
44500,122000,-158,m5_8
22500,124000,-187.4,m5_8
68500,125500,-131.3,m5_8
46500,127500,-137.5,m5_8
24500,129500,-155.7,m5_8
2500,131500,-184.9,m5_8
48500,133000,-123.2,m5_8
46500,2500,-977.3,m6
24500,4500,-1247.2,m6
2500,6500,-1407,m6
48500,8000,-905.4,m6
26500,10000,-1192,m6
4500,12000,-1372.3,m6
50500,13500,-864.2,m6
28500,15500,-1131.6,m6
6500,17500,-1335.3,m6
52500,19000,-857.1,m6
30500,21000,-1045.1,m6
8500,23000,-1292.9,m6
54500,24500,-837.7,m6
32500,26500,-1004.9,m6
10500,28500,-1224.4,m6
56500,30000,-814.1,m6
34500,32000,-954,m6
12500,34000,-1165.8,m6
58500,35500,-798.5,m6
36500,37500,-909.7,m6
14500,39500,-1093.7,m6
60500,41000,-761.5,m6
38500,43000,-860.6,m6
16500,45000,-1021.7,m6
62500,46500,-721.1,m6
40500,48500,-799.6,m6
18500,50500,-933.5,m6
64500,52000,-681,m6
42500,54000,-751.8,m6
20500,56000,-847,m6
66500,57500,-645.5,m6
44500,59500,-691.5,m6
22500,61500,-778.6,m6
68500,63000,-602.2,m6
46500,65000,-617.9,m6
24500,67000,-724,m6
2500,69000,-779.4,m6
