X,Y,Z,Porosity,Attr,AI,Sequence,Well
41600,74700,-204.15,46.6,0.623900071077429,3242075.0,m41,m27
41600,74700,-204.49,48.0,0.6392721894152806,3200892.0,m41,m27
41600,74700,-205.89,47.1,0.6922215151519682,3256846.0,m41,m27
41600,74700,-207.45,54.1,0.7469048007724657,2993856.0,m41,m27
41600,74700,-208.95,47.1,0.7708386711293679,,m41,m27
41600,74700,-209.27,49.5,0.7744302059076537,3127000.0,m41,m27
41600,74700,-210.82,52.8,0.7923084924767542,,m5,m27
41600,74700,-211.21,55.3,0.7976461302019647,3083012.0,m5,m27
41600,74700,-212.73,46.5,0.8184492310797072,3251262.0,m5,m27
41600,74700,-213.51,46.8,0.829192448513987,3167957.0,m5,m27
41600,74700,-215.01,49.0,0.8608550163748585,3151395.0,m5,m27
41600,74700,-216.41,62.7,0.8900278940162464,,m5,m27
41600,74700,-216.86,66.8,0.8943088608686338,,m5,m27
41600,74700,-217.95,53.3,0.9046783139110828,2705422.0,m5,m27
41600,74700,-218.55,54.8,0.9103862697142661,2884674.0,m5,m27
41600,74700,-219.25,49.1,0.9170455514846461,,m5,m27
41600,74700,-219.66,55.3,0.9046684252933068,2868192.0,m5,m27
41600,74700,-221.16,53.2,0.8588280952924122,,m5,m27
41600,74700,-222.47,43.9,0.8126402013699977,,m5,m27
41600,74700,-222.64,53.1,0.8043653556875215,2851689.0,m5,m27
41600,74700,-225.39,37.3,0.6739120132328734,,m5,m27
41600,74700,-226.27,52.2,0.6388950336688947,2933280.0,m5,m27
41600,74700,-227.56,53.6,0.5875633249898822,3103380.0,m5,m27
41600,74700,-228.61,56.3,0.5622622030000797,,m5,m27
41600,74700,-230.19,48.5,0.535220387054648,3356465.0,m5,m27
41600,74700,-231.86,46.9,0.5382554745960535,3279470.0,m5,m27
41600,74700,-234.66,45.9,0.6078759877128286,2966700.0,m54,m27
41600,74700,-235.38,46.0,0.6423217580003584,3304230.9999999995,m54,m27
41600,74700,-236.52,57.6,0.6969210902605724,3055645.0,m54,m27
41600,74700,-237.79,54.7,0.7681382337820555,3024195.0,m54,m27
41600,74700,-238.9,54.6,0.8303831387496526,3072296.0,m54,m27
41600,74700,-240.3,51.0,0.8597943489130424,3194343.0,m54,m27
41600,74700,-241.06,53.5,0.8614466559329672,3141888.0,m54,m27
41600,74700,-242.22,57.3,0.8639685982265368,,m54,m27
41600,74700,-242.72,52.3,0.8433890218304437,,m54,m27
41600,74700,-242.72,54.5,0.8433890218304437,,m54,m27
41600,74700,-244.63,65.1,0.7564589372588728,2742440.0,m54,m27
41600,74700,-246.13,63.1,0.7078821527834168,2693015.0,m54,m27
41600,74700,-247.62,63.4,0.6697703819505453,2835470.0,m54,m27
41600,74700,-249.13,57.5,0.6817474973219875,2869300.0,m54,m27
41600,74700,-250.33,53.2,0.7056883541925925,3019500.0,m54,m27
41600,74700,-251.87,60.4,0.7412393234451379,2782434.0,m54,m27
41600,74700,-253.95,57.2,0.7884922983615136,2953440.0,m54,m27
41600,74700,-254.84,58.2,0.7879951256780653,2976183.0,m54,m27
41600,74700,-256.88,58.9,0.78937094889698,2714585.0,m54,m27
41600,74700,-258.55,60.8,0.8065488940556856,2876480.0,m54,m27
41600,74700,-259.65,61.0,0.8189642839935732,2829916.0,m54,m27
41600,74700,-261.48,60.0,0.8538406933103321,2813499.0,m54,m27
41600,74700,-262.09,61.0,0.865466163082584,2739659.0,m54,m27
41600,74700,-263.16,61.6,0.8701252553601467,2828853.0,m54,m27
41600,74700,-264.76,62.6,0.8674516170692886,2817737.0,m54,m27
41600,74700,-265.48,61.0,0.867568824933982,,m54,m27
41600,74700,-266.95,55.2,0.8746969468990312,,m54,m27
41600,74700,-269.3,56.4,0.8798442106352203,2877246.0,m54,m27
41600,74700,-271.85,47.6,0.8471172915009666,3255200.0,m54,m27
41600,74700,-272.89,46.2,0.8069106928797471,2934150.0,m54,m27
41600,74700,-274.46,51.6,0.7434264943827085,2863239.0,m54,m27
41600,74700,-275.93,49.3,0.6791865142791524,2953710.0,m54,m27
