#X,Y,Z,attr 
 40800.000, 69473.927,  -578.231,     0.922
 40800.000, 94749.319,  -870.238,     0.241
 40800.000, 71892.251,  -482.823,     0.937
 40800.000, 44744.607,  -289.116,     0.827
 40800.000, 65417.382,  -531.973,     0.953
 40800.000,111365.550,  -899.150,     0.535
 40800.000, 84998.010,  -696.769,     0.912
 40800.000, 66977.592,  -419.218,     0.851
 40800.000, 91628.901,  -797.959,     0.609
 40800.000, 66977.592,  -471.259,     0.902
 40800.000, 97479.686,  -855.782,     0.749
 40800.000, 93189.110,  -774.830,     0.773
 40800.000, 58942.513,  -375.850,     0.830
 40800.000, 90146.702,  -821.088,     0.752
 40800.000, 45914.764,  -292.007,     0.834
 40800.000, 75948.796,  -664.966,     0.922
 40800.000,105358.743,  -913.605,     0.604
 40800.000, 74622.618,  -575.340,     0.848
 40800.000, 96933.613,  -786.395,     0.741
 40800.000, 59098.534,  -520.408,     0.883
 40800.000, 67679.686,  -557.993,     0.902
 40800.000, 65885.445,  -445.238,     0.626
 40800.000, 53247.749,  -306.463,     0.104
 40800.000, 97791.728,  -823.980,     0.908
 40800.000, 80473.403,  -693.878,     0.902
 40800.000, 65105.340,  -410.544,     0.680
 40800.000, 44978.639,  -297.789,     0.494
 40800.000, 42638.325,  -292.007,     0.719
 40800.000, 73374.450,  -485.714,     0.573
 40800.000, 90302.723,  -792.177,     0.165
 40800.000, 66509.529,  -563.776,     0.916
 40800.000, 44978.639,  -286.224,     0.868
 40800.000, 65807.435,  -517.517,     0.801
 40800.000, 59722.618,  -491.497,     0.713
 40800.000, 66587.539,  -511.735,     0.483
 40800.000, 63233.089,  -546.429,     0.758
 40800.000, 55276.021,  -427.891,     0.873
 40800.000, 51375.497,  -372.959,     0.112
 40800.000, 93579.162,  -823.980,     0.673
 40800.000, 49659.267,  -329.592,     0.777
 40800.000, 92721.047,  -754.592,     0.594
 40800.000,105982.827,  -893.367,     0.477
 40800.000, 56524.188,  -370.068,     0.782
 40800.000, 95139.372,  -769.048,     0.937
