#X,Y,Z,attr 
 40800.000,110429.424,  -390.306,     0.702
 40800.000, 82267.644,  -268.878,     0.884
 40800.000, 40844.084,  -161.905,     0.880
 40800.000, 41468.168,  -147.449,     0.893
 40800.000,106294.869,  -448.129,     0.826
 40800.000,105592.775,  -485.714,     0.525
 40800.000, 48021.047,  -115.646,     0.816
 40800.000, 96309.529,  -265.986,     0.892
 40800.000, 54183.874,  -167.687,     0.589
 40800.000,100522.094,  -294.898,     0.813
 40800.000,109805.340,  -370.068,     0.789
 40800.000, 67211.623,  -182.143,     0.553
 40800.000, 87728.377,  -341.156,     0.740
 40800.000, 49191.204,  -121.429,     0.790
 40800.000, 70410.052,  -153.231,     0.525
 40800.000,110819.476,  -471.259,     0.972
 40800.000, 62921.047,  -231.293,     0.477
 40800.000,102862.408,  -427.891,     0.821
 40800.000, 71346.178,  -179.252,     0.839
 40800.000,114563.979,  -277.551,     0.983
 40800.000,105592.775,  -416.327,     0.610
 40800.000, 76962.932,  -248.639,     0.929
 40800.000,110741.466,  -445.238,     0.965
 40800.000, 94827.330,  -268.878,     0.827
 40800.000, 91706.911,  -222.619,     0.722
 40800.000,110117.382,  -407.653,     0.746
 40800.000,108167.120,  -384.524,     0.812
 40800.000,107387.016,  -277.551,     0.780
 40800.000, 88118.429,  -346.939,     0.772
 40800.000,108635.183,  -248.639,     0.480
 40800.000, 99429.948,  -410.544,     0.461
 40800.000, 91550.890,  -390.306,     0.827
 40800.000, 93813.194,  -251.531,     0.934
 40800.000, 58396.440,  -138.776,     0.434
 40800.000, 65729.424,  -156.122,     0.513
 40800.000, 81877.592,  -182.143,     0.907
 40800.000, 85388.063,  -309.354,     0.878
 40800.000,101692.251,  -312.245,     0.524
 40800.000,107933.089,  -416.327,     0.813
 40800.000,109025.236,  -477.041,     0.685
 40800.000, 98025.759,  -271.769,     0.956
 40800.000, 67523.665,  -219.728,     0.683
 40800.000,103876.545,  -268.878,     0.949
 40800.000, 43028.377,  -161.905,     0.691
 40800.000,111677.592,  -378.741,     0.823
 40800.000, 77743.037,  -251.531,     0.966
 40800.000,110429.424,  -312.245,     0.786
 40800.000, 85388.063,  -208.163,     0.759
 40800.000, 55276.021,  -173.469,     0.643
 40800.000,111209.529,  -338.265,     0.650
 40800.000, 88430.471,  -326.701,     0.528
 40800.000,112145.654,  -517.517,     0.907
 40800.000, 92721.047,  -234.184,     0.837
 40800.000, 98259.791,  -384.524,     0.914
 40800.000, 59566.597,  -127.211,     0.420
 40800.000, 91940.942,  -315.136,     0.720
 40800.000, 78601.152,  -248.639,     0.826
 40800.000, 44744.607,  -173.469,     0.507
 40800.000,114017.906,  -456.803,     0.801
 40800.000, 82501.675,  -248.639,     0.875
 40800.000, 99273.927,  -439.456,     0.914
 40800.000, 67211.623,  -202.381,     0.900
 40800.000,109727.330,  -355.612,     0.502
 40800.000, 66899.581,  -190.816,     0.945
 40800.000, 81175.497,  -271.769,     0.843
 40800.000, 65261.361,  -245.748,     0.391
 40800.000,109415.288,  -283.333,     0.951
 40800.000, 72984.398,  -251.531,     0.932
 40800.000, 64091.204,  -170.578,     0.929
 40800.000,101458.220,  -303.571,     0.557
 40800.000, 73686.492,  -231.293,     0.631
 40800.000,112067.644,  -451.020,     0.814
 40800.000, 91394.869,  -231.293,     0.601
 40800.000, 78913.194,  -234.184,     0.602
 40800.000, 61438.848,  -176.361,     0.760
 40800.000, 76806.911,  -153.231,     0.391
 40800.000, 74778.639,  -234.184,     0.612
 40800.000,114485.969,  -367.177,     0.810
 40800.000, 54027.853,  -182.143,     0.929
 40800.000,110585.445,  -572.449,     0.711
 40800.000, 54261.885,  -130.102,     0.481
 40800.000, 76806.911,  -268.878,     0.644
 40800.000, 78679.162,  -196.599,     0.872
 40800.000,100990.157,  -433.673,     0.983
 40800.000, 65027.330,  -225.510,     0.804
 40800.000, 69161.885,  -242.857,     0.519
 40800.000, 63701.152,  -196.599,     0.863
 40800.000,110663.455,  -396.088,     0.934
 40800.000,104188.586,  -367.177,     0.830
 40800.000,100366.073,  -416.327,     0.836
 40800.000, 92799.058,  -222.619,     0.711
 40800.000, 96231.518,  -228.401,     0.937
 40800.000, 80551.414,  -161.905,     0.907
 40800.000,104188.586,  -494.388,     0.925
 40800.000, 98025.759,  -407.653,     0.879
 40800.000,102316.335,  -251.531,     0.796
 40800.000,114095.916,  -560.884,     0.890
 40800.000,108947.225,  -465.476,     0.951
 40800.000,113237.801,  -439.456,     0.845
 40800.000, 76182.827,  -242.857,     0.949
 40800.000,110351.414,  -384.524,     0.839
 40800.000, 46460.838,  -193.707,     0.511
 40800.000, 58942.513,  -144.558,     0.436
 40800.000, 53481.780,  -150.340,     0.658
 40800.000,106450.890,  -384.524,     0.926
 40800.000, 88664.503,  -372.959,     0.811
 40800.000, 76260.838,  -193.707,     0.851
 40800.000, 79927.330,  -234.184,     0.708
 40800.000,111443.560,  -604.252,     0.446
 40800.000, 43808.482,  -153.231,     0.805
 40800.000,108011.099,  -520.408,     0.950
 40800.000, 58942.513,  -208.163,     0.949
 40800.000, 94203.246,  -254.422,     0.763
 40800.000,108947.225,  -419.218,     0.678
 40800.000, 91238.848,  -274.660,     0.963
 40800.000, 61048.796,  -138.776,     0.647
 40800.000, 67055.602,  -219.728,     0.774
 40800.000, 96855.602,  -370.068,     0.926
 40800.000, 98961.885,  -387.415,     0.912
 40800.000,107933.089,  -439.456,     0.604
 40800.000, 66119.476,  -132.993,     0.906
 40800.000,103486.492,  -346.939,     0.590
 40800.000, 92799.058,  -205.272,     0.621
 40800.000,106450.890,  -416.327,     0.751
 40800.000, 67289.634,  -161.905,     0.858
 40800.000, 56290.157,  -219.728,     0.929
 40800.000,108011.099,  -309.354,     0.541
 40800.000, 51687.539,  -124.320,     0.743
 40800.000, 46304.817,  -130.102,     0.429
