#X,Y,Z,attr 
 40800.000, 78679.162,  -734.354,     0.435
 40800.000, 40532.042,  -341.156,     0.898
 40800.000, 51609.529,  -427.891,     0.785
 40800.000, 40688.063,  -355.612,     0.291
 40800.000, 60814.764,  -560.884,     0.886
 40800.000, 71034.136,  -630.272,     0.752
 40800.000, 76650.890,  -731.463,     0.831
 40800.000, 50283.351,  -425.000,     0.922
 40800.000, 60190.681,  -546.429,     0.961
 40800.000, 49815.288,  -375.850,     0.847
 40800.000, 50907.435,  -413.435,     0.859
 40800.000, 63155.079,  -560.884,     0.790
 40800.000, 43730.471,  -381.633,     0.843
 40800.000, 52779.686,  -413.435,     0.826
 40800.000, 80707.435,  -731.463,     0.012
 40800.000, 78991.204,  -728.571,     0.229
 40800.000, 45368.691,  -346.939,     0.890
 40800.000, 41234.136,  -320.918,     0.623
 40800.000, 83125.759,  -780.612,     0.298
 40800.000, 42326.283,  -320.918,     0.562
 40800.000, 73062.408,  -676.531,     0.406
 40800.000, 74622.618,  -708.333,     0.613
 40800.000, 55744.084,  -485.714,     0.973
 40800.000, 62765.026,  -569.558,     0.922
 40800.000, 69551.937,  -607.143,     0.871
 40800.000, 50127.330,  -419.218,     0.914
 40800.000, 80005.340,  -728.571,     0.805
 40800.000, 46304.817,  -367.177,     0.917
 40800.000, 45914.764,  -390.306,     0.875
 40800.000, 86870.262,  -800.850,     0.529
 40800.000, 85388.063,  -783.503,     0.279
 40800.000, 50361.361,  -398.980,     0.859
 40800.000, 57382.304,  -531.973,     0.915
 40800.000, 47396.963,  -439.456,     0.665
 40800.000, 63389.110,  -584.014,     0.970
 40800.000, 44744.607,  -344.048,     0.631
 40800.000, 49269.215,  -370.068,     0.941
 40800.000, 70488.063,  -621.599,     0.847
 40800.000, 87572.356,  -812.415,     0.340
 40800.000, 47943.037,  -387.415,     0.751
 40800.000, 47865.026,  -407.653,     0.465
 40800.000, 59098.534,  -526.190,     0.902
 40800.000, 43808.482,  -367.177,     0.705
 40800.000, 50673.403,  -465.476,     0.524
 40800.000, 40610.052,  -335.374,     0.554
 40800.000, 52545.654,  -453.912,     0.595
 40800.000, 49581.257,  -474.150,     0.322
 40800.000, 67133.613,  -589.796,     0.509
 40800.000, 43730.471,  -378.741,     0.961
 40800.000, 40688.063,  -289.116,     0.696
 40800.000, 85700.105,  -800.850,     0.269
 40800.000, 49659.267,  -364.286,     0.675
 40800.000, 41234.136,  -312.245,     0.538
