#X,Y,Z,attr 
 40800.000, 90224.712,  -118.537,     0.899
 40800.000, 85388.063,  -173.469,     0.536
 40800.000, 41468.168,   -72.279,     0.571
 40800.000, 77899.058,   -80.952,     0.339
 40800.000, 62140.942,  -106.973,     0.392
 40800.000, 54339.895,   -72.279,     0.490
 40800.000, 70722.094,  -112.755,     0.914
 40800.000, 92487.016,  -124.320,     0.561
 40800.000, 96465.550,  -170.578,     0.880
 40800.000, 94437.277,   -89.626,     0.437
 40800.000, 91550.890,   -46.259,     0.684
 40800.000, 92799.058,  -101.190,     0.946
 40800.000,103642.513,  -115.646,     0.552
 40800.000,100444.084,   -69.388,     0.857
 40800.000, 44900.628,   -26.020,     0.217
 40800.000, 89288.586,  -193.707,     0.435
 40800.000, 76026.806,  -132.993,     0.979
 40800.000, 81799.581,   -60.714,     0.514
 40800.000,100522.094,  -199.490,     0.973
 40800.000, 44978.639,   -28.912,     0.741
 40800.000, 85700.105,   -34.694,     0.163
 40800.000,109883.351,  -185.034,     0.705
 40800.000, 47709.005,   -83.844,     0.384
 40800.000, 84920.000,   -49.150,     0.803
 40800.000, 80317.382,   -95.408,     0.820
 40800.000, 92799.058,  -104.082,     0.913
 40800.000, 47396.963,  -104.082,     0.188
 40800.000, 97869.738,   -69.388,     0.745
 40800.000, 92487.016,  -170.578,     0.734
 40800.000,106450.890,  -159.014,     0.884
 40800.000, 97401.675,  -112.755,     0.769
 40800.000, 49503.246,   -63.605,     0.465
 40800.000,109961.361,  -219.728,     0.983
 40800.000, 87572.356,  -167.687,     0.468
 40800.000,110897.487,   -83.844,     0.852
 40800.000, 97167.644,   -54.932,     0.861
 40800.000, 51999.581,   -83.844,     0.486
 40800.000,110663.455,  -237.075,     0.903
 40800.000, 85388.063,   -63.605,     0.660
 40800.000, 86090.157,  -112.755,     0.829
 40800.000,113003.770,  -179.252,     0.944
 40800.000, 99273.927,   -34.694,     0.130
 40800.000, 84061.885,  -118.537,     0.930
 40800.000, 88430.471,  -185.034,     0.953
 40800.000,113549.843,  -118.537,     0.785
 40800.000, 86636.230,  -164.796,     0.698
 40800.000, 97791.728,  -115.646,     0.732
 40800.000, 88976.545,  -109.864,     0.661
 40800.000, 85544.084,   -63.605,     0.749
 40800.000,104500.628,   -49.150,     0.703
 40800.000, 88586.492,   -66.497,     0.796
 40800.000, 86948.272,   -78.061,     0.591
 40800.000, 95529.424,  -196.599,     0.792
 40800.000,104266.597,   -63.605,     0.719
 40800.000, 68537.801,   -86.735,     0.282
 40800.000,111677.592,  -211.054,     0.898
 40800.000, 97089.634,  -182.143,     0.941
 40800.000, 73140.419,  -144.558,     0.884
 40800.000, 99117.906,  -138.776,     0.913
 40800.000, 85154.031,  -138.776,     0.915
 40800.000,100990.157,   -92.517,     0.484
 40800.000, 77743.037,  -153.231,     0.619
 40800.000, 71346.178,  -130.102,     0.945
 40800.000, 64091.204,  -115.646,     0.521
 40800.000, 59254.555,  -118.537,     0.952
 40800.000, 64325.236,   -95.408,     0.208
 40800.000, 48645.131,   -72.279,     0.210
 40800.000, 82813.717,   -92.517,     0.647
 40800.000,108791.204,   -86.735,     0.680
 40800.000, 75792.775,  -118.537,     0.964
 40800.000, 70722.094,   -54.932,     0.958
 40800.000,101146.178,  -112.755,     0.562
 40800.000, 71502.199,   -60.714,     0.878
 40800.000, 91394.869,   -49.150,     0.491
 40800.000,109961.361,  -101.190,     0.335
 40800.000,102550.366,  -167.687,     0.605
 40800.000,111365.550,  -179.252,     0.936
 40800.000, 72438.325,  -135.884,     0.888
 40800.000, 96309.529,  -196.599,     0.621
 40800.000, 78133.089,  -135.884,     0.938
 40800.000, 65417.382,   -98.299,     0.611
 40800.000,102472.356,  -185.034,     0.842
 40800.000, 65105.340,   -66.497,     0.895
 40800.000, 85700.105,   -49.150,     0.698
 40800.000,100522.094,  -135.884,     0.868
 40800.000, 94437.277,  -112.755,     0.802
 40800.000, 68771.832,   -40.476,     0.607
 40800.000, 97089.634,  -179.252,     0.890
 40800.000, 97323.665,   -54.932,     0.869
 40800.000, 43730.471,   -83.844,     0.727
 40800.000,111053.508,  -135.884,     0.897
 40800.000, 86246.178,  -118.537,     0.925
 40800.000, 63389.110,   -86.735,     0.497
 40800.000,100054.031,   -49.150,     0.444
 40800.000,110663.455,   -75.170,     0.879
 40800.000, 95139.372,   -40.476,     0.146
 40800.000, 65573.403,  -109.864,     0.462
 40800.000, 76182.827,   -34.694,     0.155
 40800.000,104656.649,   -43.367,     0.632
 40800.000, 41624.188,   -92.517,     0.016
 40800.000, 45056.649,   -43.367,     0.847
 40800.000,107699.058,  -208.163,     0.898
 40800.000, 90536.754,  -156.122,     0.606
 40800.000,108245.131,  -182.143,     0.816
 40800.000,105514.764,   -49.150,     0.857
 40800.000, 70254.031,   -40.476,     0.263
 40800.000, 64247.225,   -34.694,     0.149
 40800.000, 75636.754,  -121.429,     0.921
 40800.000, 94671.309,  -170.578,     0.779
 40800.000, 53013.717,   -49.150,     0.753
 40800.000,113861.885,  -222.619,     0.948
 40800.000, 90302.723,   -46.259,     0.853
 40800.000,100444.084,  -213.946,     0.319
 40800.000, 71814.241,  -138.776,     0.922
 40800.000,105436.754,  -185.034,     0.831
 40800.000, 95997.487,   -78.061,     0.897
 40800.000, 82345.654,  -106.973,     0.481
 40800.000, 54495.916,   -83.844,     0.614
 40800.000, 55432.042,   -86.735,     0.236
 40800.000, 72360.314,  -118.537,     0.501
 40800.000, 98337.801,   -89.626,     0.265
 40800.000,113237.801,  -124.320,     0.476
 40800.000, 91082.827,  -179.252,     0.918
 40800.000, 78211.099,   -72.279,     0.725
 40800.000,103408.482,  -219.728,     0.821
 40800.000,105904.817,   -40.476,     0.447
 40800.000, 56680.209,   -54.932,     0.833
 40800.000, 60346.702,  -115.646,     0.802
 40800.000, 41234.136,   -69.388,     0.464
 40800.000, 96465.550,   -54.932,     0.902
 40800.000, 63155.079,  -118.537,     0.741
 40800.000, 62921.047,   -86.735,     0.247
 40800.000, 94983.351,   -54.932,     0.863
 40800.000, 60502.723,   -63.605,     0.821
 40800.000,108011.099,  -132.993,     0.565
 40800.000,108869.215,  -124.320,     0.826
 40800.000, 92721.047,   -34.694,     0.157
 40800.000,101224.188,  -190.816,     0.840
 40800.000,110663.455,  -101.190,     0.320
 40800.000,106606.911,   -75.170,     0.727
 40800.000, 85700.105,  -127.211,     0.880
 40800.000, 54573.927,   -60.714,     0.843
 40800.000, 99741.990,   -75.170,     0.624
 40800.000,113861.885,  -141.667,     0.775
 40800.000, 52701.675,   -75.170,     0.447
 40800.000, 56134.136,   -92.517,     0.272
 40800.000,105358.743,   -49.150,     0.900
 40800.000, 80473.403,  -135.884,     0.808
 40800.000, 45368.691,   -60.714,     0.343
 40800.000, 46460.838,   -57.823,     0.825
 40800.000, 51375.497,   -98.299,     0.425
 40800.000,102004.293,  -182.143,     0.715
 40800.000, 60736.754,   -63.605,     0.929
 40800.000, 42638.325,   -28.912,     0.594
 40800.000, 73764.503,   -40.476,     0.470
 40800.000, 50517.382,   -63.605,     0.513
 40800.000,105202.723,  -219.728,     0.859
 40800.000,107230.995,  -141.667,     0.562
 40800.000, 40766.073,   -75.170,     0.724
 40800.000, 40610.052,   -60.714,     0.510
 40800.000, 96777.592,   -83.844,     0.622
 40800.000, 91784.921,  -190.816,     0.956
 40800.000, 67211.623,  -115.646,     0.415
 40800.000, 83437.801,   -54.932,     0.903
 40800.000, 66821.571,   -98.299,     0.473
 40800.000, 79069.215,  -104.082,     0.682
 40800.000, 74856.649,   -80.952,     0.752
 40800.000,110507.435,  -213.946,     0.890
 40800.000,111989.634,  -185.034,     0.906
 40800.000, 66197.487,  -115.646,     0.847
 40800.000, 72360.314,  -101.190,     0.654
 40800.000,114173.927,  -219.728,     0.586
